env_steps,return,length,success,train/return,train/length,train/success,zp_critic_loss,zp_loss,critic_loss,FPS
0,0.0,484.0,0.0,,,,,,,
10000,0.0,484.0,0.0,0.0,37.4532,0.0,-1.8307,4.1979,0.0016,245.1583
20000,0.0,484.0,0.0,0.0,45.8716,0.0,-2.0055,4.8439,0.0,438.8602
30000,0.0,484.0,0.0,0.0,45.045,0.0,-2.0516,5.0173,0.0,437.1265
40000,0.0,484.0,0.0,0.0,40.6504,0.0,-2.0789,5.1007,0.0,435.9594
50000,0.0,484.0,0.0,0.0,47.1698,0.0,-2.0979,5.1467,0.0,433.9404
60000,0.0,436.2,0.0,0.0,44.0529,0.0,-2.1122,5.1766,0.0,432.4181
70000,0.0,484.0,0.0,0.0,49.7512,0.0,-2.1274,5.2272,0.0,430.5989
80000,0.0,484.0,0.0,0.0,46.729,0.0,-2.1419,5.2702,0.0,429.9308
90000,0.0,436.7,0.0,0.0,40.3226,0.0,-2.1555,5.3103,0.0,428.3827
100000,0.0,484.0,0.0,0.0,46.5116,0.0,-2.1683,5.3538,0.0,430.0127
110000,0.0,436.1,0.0,0.0,41.4938,0.0,-2.1796,5.3857,0.0,428.0212
120000,0.0,436.2,0.0,0.0,53.4759,0.0,-2.188,5.409,0.0,427.838
130000,0.0,436.0,0.0,0.0,55.5556,0.0,-2.1967,5.4359,0.0,426.5303
140000,0.0,484.0,0.0,0.0,44.6429,0.0,-2.2057,5.4639,0.0,424.6566
150000,0.0,435.8,0.0,0.0,48.0769,0.0,-2.2147,5.4957,0.0,424.8102
160000,0.0,244.0,0.0,0.0,54.6448,0.0,-2.2223,5.5194,0.0,424.7834
170000,0.0,484.0,0.0,0.0,57.8035,0.0,-2.2287,5.5439,0.0,422.9278
180000,0.0,484.0,0.0,0.0,75.7576,0.0,-2.2351,5.5609,0.0,425.618
190000,0.0,484.0,0.0,0.0,60.6061,0.0,-2.2407,5.5769,0.0,423.515
200000,0.0,484.0,0.0,0.0,55.5556,0.0,-2.2471,5.5981,0.0,421.5699
210000,0.0,484.0,0.0,0.0,57.4713,0.0,-2.2507,5.6091,0.0,421.0247
220000,0.0,484.0,0.0,0.0,62.5,0.0,-2.2557,5.6269,0.0,420.2377
230000,0.0,484.0,0.0,0.0,63.2911,0.0,-2.26,5.6357,0.0,419.3596
240000,0.0,484.0,0.0,0.0,51.2821,0.0,-2.2642,5.6493,0.0,418.1902
250000,0.0,484.0,0.0,0.0,64.9351,0.0,-2.2676,5.6556,0.0,417.1622
260000,0.0,196.2,0.0,0.0,43.6681,0.0,-2.2715,5.668,0.0,415.8974
270000,0.0,436.0,0.0,0.0,65.3595,0.0,-2.2733,5.6747,0.0,417.1766
280000,0.0,436.3,0.0,0.0,46.2963,0.0,-2.277,5.6831,0.0,414.7547
290000,0.0,484.0,0.0,0.0,64.5161,0.0,-2.2802,5.6919,0.0,415.1703
300000,0.0,484.0,0.0,0.0,77.5194,0.0,-2.2829,5.6999,0.0,414.6809
310000,0.0,435.9,0.0,0.0,64.1026,0.0,-2.2853,5.7054,0.0,414.4095
320000,0.0,484.0,0.0,0.0,54.0541,0.0,-2.2881,5.714,0.0,413.6873
330000,0.0,291.2,0.0,0.0,48.3092,0.0,-2.291,5.723,0.0,413.6974
340000,0.0,484.0,0.0,0.0,52.356,0.0,-2.2924,5.7251,0.0,412.4948
350000,0.0,484.0,0.0,0.0,52.0833,0.0,-2.2948,5.7315,0.0,412.1774
360000,0.0,484.0,0.0,0.0,51.8135,0.0,-2.2964,5.7377,0.0,412.3863
370000,0.0,484.0,0.0,0.0,46.9484,0.0,-2.2994,5.748,0.0,411.1168
380000,0.0,3.4,0.0,0.0069,25.5102,0.0077,-2.3017,5.7521,0.0,410.3944
390000,0.0,484.0,0.0,0.0,34.8432,0.0,-2.3033,5.7583,0.0,411.3924
400000,0.0,5.2,0.0,0.0033,41.3223,0.0041,-2.3047,5.7625,0.0,411.9441
410000,0.0,389.9,0.0,0.0,41.1523,0.0,-2.3067,5.7683,0.0,411.9704
420000,0.0,437.1,0.0,0.0,43.4783,0.0,-2.3085,5.7711,0.0,411.3272
430000,0.0,199.2,0.0,0.0,58.4795,0.0,-2.3102,5.775,0.0,411.5039
440000,0.0,101.4,0.0,0.0,42.3729,0.0,-2.311,5.7761,0.0,410.65
450000,0.0,484.0,0.0,0.0,53.1915,0.0,-2.3135,5.7862,0.0,410.8489
460000,0.0,484.0,0.0,0.0,57.1429,0.0,-2.3142,5.7858,0.0,409.6472
470000,0.0,196.2,0.0,0.0,51.2821,0.0,-2.3155,5.7883,0.0,409.8136
480000,0.0,484.0,0.0,0.0033,42.735,0.0043,-2.3167,5.7929,0.0,410.2001
490000,0.0,387.6,0.0,0.0,48.3092,0.0,-2.3182,5.7969,0.0,409.9703
500000,0.0,484.0,0.0,0.0,48.0769,0.0,-2.3195,5.7977,0.0,409.0776
510000,0.0,149.7,0.0,0.0,39.8406,0.0,-2.3215,5.8034,0.0,407.8786
520000,0.0,484.0,0.0,0.0038,58.4795,0.0058,-2.3219,5.8032,0.0,407.9775
530000,0.0,2.6,0.0,0.004,44.843,0.0045,-2.3237,5.8083,0.0,407.8483
540000,0.0,388.2,0.0,0.0,42.735,0.0,-2.3242,5.8093,0.0,408.7219
550000,0.0,436.2,0.0,0.0,39.3701,0.0,-2.326,5.8163,0.0,408.8494
560000,0.0,484.0,0.0,0.0025,32.2581,0.0032,-2.3262,5.8159,0.0,407.9939
570000,0.0,195.9,0.0,0.0095,36.63,0.011,-2.3279,5.821,0.0,409.7336
580000,0.0,388.2,0.0,0.0019,30.7692,0.0031,-2.329,5.8237,0.0,408.1879
590000,0.0,291.1,0.0,0.0,37.037,0.0,-2.3297,5.8248,0.0,408.5834
600000,0.0,435.9,0.0,0.0054,38.0228,0.0076,-2.3309,5.8274,0.0,408.6923
610000,0.0,436.2,0.0,0.0,34.2466,0.0,-2.3314,5.8294,0.0,407.603
620000,0.0,195.4,0.0,0.0027,36.63,0.0037,-2.3334,5.8376,0.0,407.9623
630000,0.0,341.9,0.0,0.0048,32.5733,0.0065,-2.3331,5.8324,0.0,406.1654
640000,0.0,292.9,0.0,0.0,33.67,0.0,-2.335,5.8399,0.0,407.3378
650000,0.0,339.4,0.0,0.0,46.2963,0.0,-2.3353,5.8399,0.0,407.8686
660000,0.0,437.5,0.0,0.006,42.3729,0.0085,-2.3367,5.8436,0.0,407.8262
670000,0.0,51.2,0.0,0.0048,38.3142,0.0077,-2.3372,5.8445,0.0,407.8998
680000,0.0,291.7,0.0,0.0035,40.9836,0.0041,-2.3384,5.8492,0.0,407.5734
690000,0.0,196.8,0.0,0.0036,42.735,0.0043,-2.3388,5.8493,0.0,407.7689
700000,0.0,484.0,0.0,0.0,30.303,0.0,-2.3398,5.8515,0.0,405.8373
710000,0.0,244.0,0.0,0.0,37.7358,0.0,-2.3404,5.8539,0.0,405.6855
720000,0.0,435.9,0.0,0.0058,37.1747,0.0074,-2.3411,5.8555,0.0,406.2316
730000,0.0,484.0,0.0,0.0027,32.5733,0.0033,-2.3417,5.8562,0.0,406.0403
740000,0.0,2.4,0.0,0.0,31.348,0.0,-2.3432,5.8625,0.0,405.1662
750000,0.0,292.9,0.0,0.0053,28.6533,0.0057,-2.3427,5.8593,0.0,405.8261
760000,0.0,294.4,0.0,0.0,33.67,0.0,-2.3442,5.8639,0.0,406.5321
770000,0.0,243.5,0.0,0.0,27.5482,0.0,-2.3442,5.8628,0.0,404.7378
780000,0.0,294.1,0.0,0.0022,33.8983,0.0034,-2.3461,5.8706,0.0,406.1896
790000,0.0,292.2,0.0,0.0055,30.3951,0.0061,-2.3465,5.8716,0.0,405.4617
800000,0.0,292.0,0.0,0.0035,39.0625,0.0039,-2.3463,5.8701,0.0,406.7472
810000,0.0,388.0,0.0,0.0036,39.3701,0.0039,-2.3479,5.8769,0.0,404.3527
820000,0.0,245.5,0.0,0.0069,30.8642,0.0093,-2.3482,5.8755,0.0,405.549
830000,0.0,340.0,0.0,0.0056,33.557,0.0067,-2.349,5.8786,0.0,405.4214
840000,0.0,147.6,0.0,0.0073,28.0112,0.0084,-2.3481,5.8728,0.0,405.0207
850000,0.0,388.0,0.0,0.0,35.0877,0.0,-2.3492,5.8752,0.0,405.2257
860000,0.0,484.0,0.0,0.0038,46.5116,0.0047,-2.3498,5.8791,0.0,405.6113
870000,0.0,388.7,0.0,0.0063,41.6667,0.0083,-2.3503,5.8809,0.0,405.1668
880000,0.0,387.8,0.0,0.0015,33.557,0.0034,-2.3508,5.88,0.0,404.7474
890000,0.0,484.0,0.0,0.0027,28.3286,0.0028,-2.3515,5.882,0.0,405.2262
900000,0.0,340.9,0.0,0.0,27.5482,0.0,-2.3523,5.8844,0.0,404.7433
910000,0.0,52.8,0.0,0.0068,28.8184,0.0086,-2.3516,5.8808,0.0,404.9445
920000,0.0,5.4,0.0,0.004,33.0033,0.0066,-2.3536,5.8902,0.0,405.9943
930000,0.0,245.9,0.0,0.0041,43.1034,0.0043,-2.353,5.8852,0.0,405.3155
940000,0.0,436.4,0.0,0.003,31.746,0.0032,-2.3537,5.8882,0.0,404.417
950000,0.0,292.4,0.0,0.0064,37.594,0.0075,-2.3547,5.89,0.0,404.7269
960000,0.0,388.8,0.0,0.0,39.8406,0.0,-2.3548,5.8916,0.0,405.5129
970000,0.0,388.3,0.0,0.0089,37.3134,0.0112,-2.3554,5.8926,0.0,406.4394
980000,0.0,53.6,0.0,0.0007,28.4091,0.0028,-2.3557,5.8927,0.0,404.5205
990000,0.0,341.6,0.0,0.0,30.303,0.0,-2.3568,5.8979,0.0,404.2313
1000000,0.0,340.4,0.0,0.0068,27.248,0.0082,-2.3562,5.8938,0.0,403.707
1010000,0.0,484.0,0.0,0.0067,28.8184,0.0086,-2.3573,5.899,0.0,404.9232
1020000,0.0,340.3,0.0,0.0031,32.7869,0.0033,-2.3575,5.8978,0.0,404.95
1030000,0.0,149.2,0.0,0.007,38.9105,0.0078,-2.3579,5.8992,0.0,404.8913
1040000,0.0,388.3,0.0,0.0077,30.3951,0.0091,-2.3581,5.8997,0.0,403.6267
1050000,0.0,150.6,0.0,0.0029,30.6748,0.0031,-2.3581,5.8995,0.0,403.4791
1060000,0.0,102.4,0.0,0.0025,32.6797,0.0033,-2.3589,5.9018,0.0,403.3902
1070000,0.0,484.0,0.0,0.0117,29.0698,0.0145,-2.3579,5.8959,0.0,404.1363
1080000,0.0,244.1,0.0,0.0022,27.7008,0.0028,-2.3596,5.9026,0.0001,404.3863
1090000,0.0,341.7,0.0,0.007,32.0513,0.0096,-2.3601,5.9037,0.0,403.8214
1100000,0.0,436.0,0.0,0.0024,31.0559,0.0031,-2.36,5.9022,0.0,403.9335
1110000,0.0,387.8,0.0,0.0,33.0033,0.0,-2.3608,5.906,0.0,404.5711
1120000,0.0,291.9,0.0,0.0,39.3701,0.0,-2.3603,5.9022,0.0,404.7683
1130000,0.0,435.9,0.0,0.0028,36.2319,0.0036,-2.3612,5.9063,0.0001,404.3292
1140000,0.0,196.9,0.0,0.0,54.0541,0.0,-2.361,5.9043,0.0,405.2105
1150000,0.0,147.7,0.0,0.007,46.0829,0.0092,-2.3619,5.9067,0.0001,403.6746
1160000,0.0,292.5,0.0,0.0025,34.0136,0.0034,-2.3612,5.9028,0.0,403.4367
1170000,0.0,389.8,0.0,0.0077,44.6429,0.0089,-2.362,5.9072,0.0,403.827
1180000,0.0,388.0,0.0,0.0093,38.4615,0.0115,-2.3621,5.9067,0.0,402.9747
1190000,0.0,345.2,0.0,0.0134,33.8983,0.0169,-2.3632,5.9128,0.0001,402.5195
1200000,0.0,339.8,0.0,0.0046,37.3134,0.0075,-2.363,5.9113,0.0,403.2053
1210000,0.0,340.7,0.0,0.0026,37.1747,0.0037,-2.3638,5.9121,0.0001,403.7188
1220000,0.0,343.2,0.0,0.0039,42.0168,0.0042,-2.3637,5.9119,0.0,404.0092
1230000,0.0,389.3,0.0,0.0025,33.2226,0.0033,-2.3648,5.915,0.0001,402.4552
1240000,0.0,151.9,0.0,0.0036,40.9836,0.0041,-2.3645,5.9142,0.0001,403.4942
1250000,0.0,147.8,0.0,0.004,45.8716,0.0046,-2.3659,5.9199,0.0001,402.5
1260000,0.0,484.0,0.0,0.0067,44.843,0.009,-2.3649,5.9154,0.0001,402.6474
1270000,0.0,100.1,0.0,0.0,35.7143,0.0,-2.3657,5.9182,0.0001,401.5219
1280000,0.0,292.0,0.0,0.0,39.2157,0.0,-2.366,5.9185,0.0001,401.8072
1290000,0.0,435.8,0.0,0.0116,44.843,0.0135,-2.3654,5.9155,0.0001,402.3622
1300000,0.0,436.5,0.0,0.0098,43.6681,0.0131,-2.3673,5.9237,0.0001,401.196
1310000,0.0,388.8,0.0,0.0055,35.9712,0.0072,-2.3667,5.9205,0.0001,400.7156
1320000,0.0,435.8,0.0,0.0103,39.8406,0.012,-2.3669,5.9215,0.0001,400.2357
1330000,0.0,149.6,0.0,0.0087,44.2478,0.0133,-2.3667,5.9188,0.0001,400.8556
1340000,0.0,339.8,0.0,0.0,52.9101,0.0,-2.3675,5.9226,0.0001,400.2097
1350000,0.0,341.8,0.0,0.0103,45.4545,0.0136,-2.3688,5.9293,0.0001,400.7661
