env_steps,return,length,train/length,train/return,FPS,rank-3,rank-2,rank-1,cond,l2,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
0,174.3497,34.0,,,,,,,,,,,,,,
16,,,16,76.7905,14.2285,,,,,,,,,,,
30,,,14,66.914,27.9842,,,,,,,,,,,
46,,,16,76.2566,32.9185,,,,,,,,,,,
60,,,14,66.6778,34.3981,,,,,,,,,,,
74,,,14,66.6723,33.7148,,,,,,,,,,,
88,,,14,66.6794,33.606,,,,,,,,,,,
102,,,14,66.4815,28.7393,,,,,,,,,,,
115,,,13,61.81,33.3758,,,,,,,,,,,
129,,,14,66.8077,26.0304,,,,,,,,,,,
143,,,14,66.6689,23.2712,,,,,,,,,,,
157,,,14,66.5549,30.8347,,,,,,,,,,,
172,,,15,71.2176,32.844,,,,,,,,,,,
189,,,17,83.5143,26.639,,,,,,,,,,,
203,,,14,66.6536,25.9506,,,,,,,,,,,
216,,,13,62.022,29.3018,,,,,,,,,,,
231,,,15,71.5337,29.3959,,,,,,,,,,,
245,,,14,66.9179,27.7241,,,,,,,,,,,
259,,,14,66.8133,29.0389,,,,,,,,,,,
274,,,15,71.179,27.2775,,,,,,,,,,,
289,,,15,71.6263,27.346,,,,,,,,,,,
304,,,15,71.6011,28.0208,,,,,,,,,,,
319,,,15,71.6864,32.4539,,,,,,,,,,,
335,,,16,76.482,27.8262,,,,,,,,,,,
350,,,15,71.3935,26.3569,,,,,,,,,,,
365,,,15,71.3438,27.481,,,,,,,,,,,
380,,,15,71.3207,26.0792,,,,,,,,,,,
395,,,15,71.1842,30.4902,,,,,,,,,,,
431,,,36,184.6863,29.4385,,,,,,,,,,,
467,,,36,184.74,27.66,,,,,,,,,,,
484,,,17,80.9606,26.5542,,,,,,,,,,,
500,,,,,,50,50,25,21.3383,49.7761,27.5651,98.5823,49.7761,5.5953,20.5713,0.2735
513,,,29,140.1513,26.9083,,,,,,,,,,,
541,,,28,133.6149,26.2937,,,,,,,,,,,
570,,,29,135.1316,28.6706,,,,,,,,,,,
598,,,28,132.5175,28.9994,,,,,,,,,,,
625,,,27,126.2612,27.9664,,,,,,,,,,,
652,,,27,128.1535,26.743,,,,,,,,,,,
674,,,22,109.3513,26.0808,,,,,,,,,,,
700,,,26,126.2536,27.7783,,,,,,,,,,,
733,,,33,151.4969,28.9964,,,,,,,,,,,
761,,,28,132.1051,34.4333,,,,,,,,,,,
785,,,24,117.3835,34.2877,,,,,,,,,,,
818,,,33,159.4396,28.8922,,,,,,,,,,,
853,,,35,168.5914,27.2432,,,,,,,,,,,
879,,,26,124.6009,25.0666,,,,,,,,,,,
913,,,34,163.3837,28.206,,,,,,,,,,,
932,,,19,89.1822,28.7032,,,,,,,,,,,
961,,,29,140.9382,34.8802,,,,,,,,,,,
992,,,31,157.9037,34.2268,,,,,,,,,,,
1000,,,,,,50,50,17,30.5041,29.1216,-7.9034,47.1344,29.1216,2.9233,12.4778,0.3542
1022,,,30,142.8647,29.2393,,,,,,,,,,,
1053,,,31,145.6748,32.1232,,,,,,,,,,,
1073,,,20,94.9006,26.6929,,,,,,,,,,,
1097,,,24,113.8531,27.0913,,,,,,,,,,,
1126,,,29,140.8723,27.349,,,,,,,,,,,
1152,,,26,122.5995,25.6972,,,,,,,,,,,
1177,,,25,124.6474,27.14,,,,,,,,,,,
1201,,,24,119.7202,27.5325,,,,,,,,,,,
1235,,,34,171.6638,27.4604,,,,,,,,,,,
1278,,,43,206.0991,27.1492,,,,,,,,,,,
1300,,,22,110.7925,28.791,,,,,,,,,,,
1336,,,36,183.5924,31.8585,,,,,,,,,,,
1401,,,65,321.5017,26.1952,,,,,,,,,,,
1454,,,53,276.4529,27.6303,,,,,,,,,,,
1500,,,,,,50,50,19,28.9226,29.4093,-22.206,68.7416,29.4093,5.0191,23.7221,0.3625
1502,,,48,247.1408,29.2975,,,,,,,,,,,
1580,,,78,398.5651,26.6509,,,,,,,,,,,
1641,,,61,320.867,26.8034,,,,,,,,,,,
1690,,,49,259.2541,27.7234,,,,,,,,,,,
1723,,,33,170.7427,27.0231,,,,,,,,,,,
1781,,,58,314.4041,27.5024,,,,,,,,,,,
1835,,,54,293.0074,25.8215,,,,,,,,,,,
1906,,,71,340.8485,29.2402,,,,,,,,,,,
1957,,,51,250.9128,24.8045,,,,,,,,,,,
1999,,,42,198.0685,26.2333,,,,,,,,,,,
2000,,,,,,50,50,24,26.1127,22.7748,-40.2071,33.0683,22.7748,5.4706,37.3717,0.2116
2035,,,36,172.6243,27.2303,,,,,,,,,,,
2071,,,36,182.9774,27.5678,,,,,,,,,,,
2096,,,25,121.6399,28.3223,,,,,,,,,,,
2117,,,21,104.8115,26.5954,,,,,,,,,,,
2138,,,21,105.0246,26.7184,,,,,,,,,,,
2166,,,28,148.6763,26.5572,,,,,,,,,,,
2186,,,20,98.4249,26.7206,,,,,,,,,,,
2212,,,26,126.2076,30.6368,,,,,,,,,,,
2233,,,21,104.0486,33.7588,,,,,,,,,,,
2283,,,50,240.2321,30.4694,,,,,,,,,,,
2309,,,26,126.5672,27.3701,,,,,,,,,,,
2336,,,27,132.656,27.2423,,,,,,,,,,,
2377,,,41,209.4005,26.5513,,,,,,,,,,,
2400,,,23,115.5968,28.7428,,,,,,,,,,,
2429,,,29,145.8286,26.7011,,,,,,,,,,,
2471,,,42,210.1269,24.0589,,,,,,,,,,,
2491,,,20,99.2123,26.4047,,,,,,,,,,,
2500,,,,,,50,50,32,19.7787,20.7795,-54.6679,43.4885,20.7795,9.5019,15.8189,0.3409
2524,,,33,165.5317,26.1305,,,,,,,,,,,
2549,,,25,126.0996,27.3894,,,,,,,,,,,
2575,,,26,126.9398,28.0807,,,,,,,,,,,
2606,,,31,149.6618,26.9992,,,,,,,,,,,
2628,,,22,108.8599,27.1865,,,,,,,,,,,
2683,,,55,275.6067,27.6156,,,,,,,,,,,
2701,,,18,85.9892,24.1103,,,,,,,,,,,
2741,,,40,197.5771,30.829,,,,,,,,,,,
2786,,,45,216.4635,25.4017,,,,,,,,,,,
2822,,,36,168.1816,28.1397,,,,,,,,,,,
2872,,,50,241.6607,30.5294,,,,,,,,,,,
2908,,,36,166.7967,26.7368,,,,,,,,,,,
2928,,,20,97.7949,32.6985,,,,,,,,,,,
2967,,,39,197.0433,29.4335,,,,,,,,,,,
2997,,,30,145.5546,27.542,,,,,,,,,,,
3000,,,,,,50,50,28,22.5779,20.4998,-70.3575,40.0641,20.4998,10.4559,29.3675,0.4536
3023,,,26,127.5981,27.0992,,,,,,,,,,,
3049,,,26,133.0525,25.6896,,,,,,,,,,,
3135,,,86,423.7765,29.3487,,,,,,,,,,,
3153,,,18,86.2959,29.564,,,,,,,,,,,
3173,,,20,99.3144,26.6012,,,,,,,,,,,
3202,,,29,135.4448,27.0107,,,,,,,,,,,
3246,,,44,243.2,26.1361,,,,,,,,,,,
3266,,,20,96.4843,26.9277,,,,,,,,,,,
3288,,,22,106.2123,27.5993,,,,,,,,,,,
3326,,,38,195.7704,28.4509,,,,,,,,,,,
3384,,,58,266.6888,26.4597,,,,,,,,,,,
3407,,,23,112.2992,25.9221,,,,,,,,,,,
3427,,,20,96.6412,26.9328,,,,,,,,,,,
3446,,,19,89.8192,31.4395,,,,,,,,,,,
3500,,,,,,50,50,29,23.0242,21.7304,-79.8754,40.687,21.7304,28.3581,81.3377,0.5829
3500,,,54,245.0978,31.9108,,,,,,,,,,,
3540,,,40,184.565,26.383,,,,,,,,,,,
3566,,,26,129.5702,28.7631,,,,,,,,,,,
3604,,,38,193.407,34.8577,,,,,,,,,,,
3637,,,33,159.2663,30.5773,,,,,,,,,,,
3659,,,22,108.1185,27.4816,,,,,,,,,,,
3679,,,20,96.5735,26.7772,,,,,,,,,,,
3699,,,20,96.5344,28.9215,,,,,,,,,,,
3719,,,20,96.8854,27.1443,,,,,,,,,,,
3735,,,16,76.3863,30.0147,,,,,,,,,,,
3763,,,28,135.2743,35.2125,,,,,,,,,,,
3799,,,36,156.3862,30.7584,,,,,,,,,,,
3874,,,75,395.8144,28.0793,,,,,,,,,,,
3934,,,60,273.5519,26.0312,,,,,,,,,,,
3966,,,32,165.0938,26.2735,,,,,,,,,,,
4000,,,,,,50,50,32,19.0485,19.1139,-96.0732,35.8438,19.1139,24.9716,81.8072,0.349
4012,,,46,202.6925,28.5116,,,,,,,,,,,
4033,,,21,99.5159,31.7705,,,,,,,,,,,
4090,,,57,273.2279,31.9934,,,,,,,,,,,
4117,,,27,135.0451,25.8271,,,,,,,,,,,
4143,,,26,134.2478,28.9729,,,,,,,,,,,
4188,,,45,222.541,26.6122,,,,,,,,,,,
4244,,,56,289.5027,28.0906,,,,,,,,,,,
4270,,,26,130.7991,27.8802,,,,,,,,,,,
4313,,,43,205.895,25.5617,,,,,,,,,,,
4365,,,52,287.2576,28.8821,,,,,,,,,,,
4392,,,27,129.1388,26.4693,,,,,,,,,,,
4438,,,46,229.1662,26.8073,,,,,,,,,,,
4470,,,32,162.2677,26.7978,,,,,,,,,,,
4500,,,,,,50,50,32,19.5914,19.9598,-107.5424,45.6289,19.9598,23.1082,64.8393,0.4804
4500,,,30,149.5334,30.1519,,,,,,,,,,,
4541,,,41,211.2964,30.1179,,,,,,,,,,,
4567,,,26,133.3357,29.3119,,,,,,,,,,,
4601,,,34,172.2797,27.5193,,,,,,,,,,,
4640,,,39,205.6968,28.2482,,,,,,,,,,,
4657,,,17,81.1747,28.8957,,,,,,,,,,,
4673,,,16,76.4222,31.848,,,,,,,,,,,
4719,,,46,236.8349,34.117,,,,,,,,,,,
4764,,,45,243.3214,26.9453,,,,,,,,,,,
4812,,,48,256.9408,27.8174,,,,,,,,,,,
4881,,,69,336.3645,26.7399,,,,,,,,,,,
4901,,,20,97.3422,26.8426,,,,,,,,,,,
4943,,,42,204.1685,25.9146,,,,,,,,,,,
4988,,,45,233.4774,26.7932,,,,,,,,,,,
5000,,,,,,50,50,31,18.738,19.4278,-128.2375,46.6704,19.4278,31.8087,96.081,0.485
5000,209.7586,38.9,,,,,,,,,,,,,,
5021,,,33,171.3831,18.4969,,,,,,,,,,,
5081,,,60,289.6637,30.9597,,,,,,,,,,,
5113,,,32,164.2048,28.4345,,,,,,,,,,,
5145,,,32,160.0884,29.0171,,,,,,,,,,,
5186,,,41,224.2091,30.7203,,,,,,,,,,,
5231,,,45,234.6926,26.5774,,,,,,,,,,,
5274,,,43,229.9962,28.3007,,,,,,,,,,,
5310,,,36,184.4171,26.8233,,,,,,,,,,,
5330,,,20,97.219,27.6351,,,,,,,,,,,
5373,,,43,228.9912,28.379,,,,,,,,,,,
5422,,,49,249.6186,28.0578,,,,,,,,,,,
5440,,,18,86.198,26.7065,,,,,,,,,,,
5487,,,47,251.931,26.567,,,,,,,,,,,
5500,,,,,,50,50,40,15.6407,21.9275,-127.5382,50.1597,21.9275,59.4936,360.2452,0.5369
5519,,,32,158.8761,30.2412,,,,,,,,,,,
5552,,,33,158.843,28.5295,,,,,,,,,,,
5598,,,46,246.5162,25.9524,,,,,,,,,,,
5623,,,25,121.072,24.9327,,,,,,,,,,,
5646,,,23,113.9983,26.7786,,,,,,,,,,,
5665,,,19,91.8982,25.4018,,,,,,,,,,,
5706,,,41,224.8808,29.8821,,,,,,,,,,,
5730,,,24,119.5734,26.7427,,,,,,,,,,,
5752,,,22,107.366,27.8755,,,,,,,,,,,
5789,,,37,191.9242,27.7905,,,,,,,,,,,
5810,,,21,103.0845,28.1047,,,,,,,,,,,
5862,,,52,263.5493,30.0523,,,,,,,,,,,
5890,,,28,136.3876,31.8181,,,,,,,,,,,
5925,,,35,183.2919,35.2958,,,,,,,,,,,
5972,,,47,246.8903,27.7462,,,,,,,,,,,
6000,,,,,,50,50,38,16.7882,20.7372,-154.3858,52.7542,20.7372,57.047,98.6372,0.4417
6021,,,49,264.5405,27.1625,,,,,,,,,,,
