env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
0,-0.5939,1000.0,,,,,,,,,,,,,
500,,,1.3462,0.7287,0.4192,106.3295,8.9002,1.074,-0.4231,0.3583,1.9373,0.1406,,,
1000,,,1.3422,0.6889,0.3496,74.7798,11.1314,0.7549,-0.3459,0.3592,1.7055,0.1426,,,
1000,,,,,,,,,,,,,1000,-126.001,31.7084
1500,,,1.3639,0.7302,0.3509,80.9212,12.1642,0.8267,-0.3487,0.6782,1.8623,0.1674,,,
2000,,,1.3722,0.7065,0.3359,63.2068,15.1036,0.6517,-0.333,0.7013,2.7686,0.2413,,,
2000,,,,,,,,,,,,,1000,-207.2022,41.8964
2500,,,1.3602,0.7054,0.321,62.7084,12.2434,0.6461,-0.3099,0.3404,1.5187,0.1345,,,
3000,,,1.3708,0.7277,0.3146,65.041,14.3196,0.6737,-0.3063,0.3364,1.7355,0.3241,,,
3000,,,,,,,,,,,,,1000,-311.6895,46.5276
3500,,,1.3724,0.7577,0.2942,67.4343,13.4739,0.7,-0.2877,0.5371,3.827,0.429,,,
4000,,,1.3641,0.7457,0.2911,59.0198,14.9731,0.6464,-0.2833,1.6193,3.3098,0.6002,,,
4000,,,,,,,,,,,,,1000,-333.3588,45.9791
4500,,,1.3528,0.703,0.2878,45.8511,15.7052,0.5548,-0.2794,1.346,5.6085,0.4232,,,
5000,,,1.3672,0.7297,0.294,52.8983,18.2424,0.616,-0.2882,1.0942,4.3,0.2503,,,
5000,-317.5748,1000.0,,,,,,,,,,,,,
5000,,,,,,,,,,,,,1000,-411.6681,43.5027
5500,,,1.3638,0.7536,0.2812,47.873,15.534,0.5882,-0.2682,1.7624,8.1156,0.6529,,,
6000,,,1.3624,0.7378,0.3072,56.9037,18.6385,0.6806,-0.305,1.1332,5.1437,0.4094,,,
6000,,,,,,,,,,,,,1000,-545.5966,46.1131
6500,,,1.3502,0.7682,0.3207,77.502,37.0397,0.8891,-0.2912,1.211,4.4367,0.6057,,,
7000,,,1.3311,0.7927,0.3746,112.1476,46.4832,1.2421,-0.3373,2.1207,4.8522,0.4681,,,
7000,,,,,,,,,,,,,1000,-285.1859,45.7034
7500,,,1.3376,0.7716,0.3669,107.476,40.5995,1.2133,-0.3221,1.5707,5.1901,0.6673,,,
8000,,,1.3122,0.761,0.3656,104.3068,54.1469,1.1787,-0.3044,0.9254,2.961,0.3212,,,
8000,,,,,,,,,,,,,1000,-196.168,46.0633
8500,,,1.313,0.7812,0.3872,131.6877,34.5513,1.4573,-0.318,0.7311,2.8245,0.2979,,,
9000,,,1.3121,0.7077,0.3707,105.4011,28.8388,1.1925,-0.3428,0.9483,3.5577,0.4808,,,
9000,,,,,,,,,,,,,1000,-557.077,46.777
9500,,,1.3599,0.7863,0.3638,120.1447,41.7313,1.3373,-0.2971,1.2933,4.3849,0.4447,,,
10000,,,1.358,0.7268,0.2828,48.5032,13.3797,0.6283,-0.2642,2.0497,5.841,0.3107,,,
10000,-344.5854,1000.0,,,,,,,,,,,,,
10000,,,,,,,,,,,,,1000,-277.5677,42.5354
10500,,,1.3556,0.7931,0.3073,54.3841,18.3716,0.6958,-0.2962,1.5661,3.8316,0.3911,,,
11000,,,1.3346,0.7017,0.3454,62.0016,21.841,0.7908,-0.3365,1.5349,7.6431,0.6102,,,
11000,,,,,,,,,,,,,1000,-313.3048,46.6882
11500,,,1.2832,0.74,0.4079,96.3659,26.2184,1.1577,-0.3839,1.8086,28.7903,0.3623,,,
